complaint,priority
Main electrical panel is making unusual sounds,High
Ceiling fan is not working in my room.,Medium
Tube light is not working in the room in my room.,Medium
One electrical socket is not working.,Medium
Room switch is damaged.,Medium
Please report: study lamp socket has stopped working,Medium
Please report: fan regulator is not working properly,Medium
Need an additional charging socket in my room.,Low
Light is slightly dim in the room,Low
Need a replacement LED bulb.,Low
Want an extra extension board,Low
Switch cover is loose in my room.,Low
Please report: ceiling is leaking heavily during rain,High
Hostel room door cannot be locked,High
Broken window glass is creating a safety risk.,High
Ceiling plaster has fallen inside the room in my room.,High
Staircase railing is broken and unsafe.,High
Door lock is damaged,Medium
Please report: window latch is broken,Medium
Please report: room door is difficult to close,Medium
Ceiling fan mounting is loose in my room.,Medium
Please report: wall has a large crack,Medium
Wardrobe door is damaged.,Medium
Need a new curtain rod in my room.,Low
Please report: room paint needs minor touch-up,Low
Wardrobe handle is loose,Low
Need a replacement door stopper.,Low
Please report: window curtain is damaged,Low
Sewage smell is spreading through the hostel floor in my room.,High
Wastewater is accumulated in the corridor in my room.,High
Large amount of garbage is blocking the hostel entrance,High
Please report: toilet is extremely unhygienic and unusable,High
Bathroom has not been cleaned for several days.,Medium
Dustbin is overflowing on the hostel floor.,Medium
Room cleaning has not been done,Medium
Corridor needs immediate cleaning,Medium
Washroom floor is very dirty.,Medium
Need regular room cleaning in my room.,Low
Dust is accumulating under the bed,Low
Please clean the hostel window.,Low
Need a new waste bin in my room.,Low
Room floor needs sweeping.,Low
Bed frame is broken and unsafe to sleep on.,High
Please report: wardrobe has collapsed and is blocking the room,High
Broken furniture is creating a safety hazard in my room.,High
Study table is damaged.,Medium
Please report: bed is making a loud noise,Medium
Please report: chair leg is broken,Medium
Wardrobe door is not closing.,Medium
Mattress is badly damaged,Medium
Please report: need a new chair,Low
Need an extra study table,Low
Chair cushion is damaged.,Low
Need a replacement shelf.,Low
Need an extra clothes hanger in my room.,Low
Internet is completely unavailable across the hostel in my room.,High
Network equipment is down and students cannot access the internet.,High
Hostel Wi-Fi has been unavailable for the entire day,High
Wi-Fi is very slow in the room in my room.,Medium
Please report: internet connection keeps disconnecting,Medium
Hostel Wi-Fi signal is weak.,Medium
Please report: cannot connect to the hostel network,Medium
Internet speed drops frequently,Medium
Wi-Fi signal is weak near my study table in my room.,Low
Need the Wi-Fi password reset.,Low
Internet is slightly slower than usual,Low
Please add better Wi-Fi coverage to this room,Low
Gas leakage smell is coming from the hostel kitchen in my room.,High
Fire alarm is not working during an emergency test.,High
Emergency exit is blocked in my room.,High
Smoke is coming from an electrical appliance in my room.,High
Hostel entrance security door is not functioning in my room.,High
CCTV camera is not working in my room.,Medium
Emergency light is not working in my room.,Medium
Staircase light is not working,Medium
Security gate lock is damaged,Medium
First aid box needs inspection,Medium
Need a safety notice near the staircase,Low
Please replace a faded emergency sign.,Low
Need an additional fire safety instruction board,Low
Safety instructions are not visible in the corridor in my room.,Low
Please report: lost student is unable to access the hostel room,High
Hostel entrance is locked and students cannot enter,High
Urgent assistance is needed in the hostel block,High
Please report: need assistance with hostel room allocation,Medium
Room key is missing in my room.,Medium
Hostel gate timing information is unclear.,Medium
Need help moving to another room.,Medium
Please report: complaint about repeated disturbance in the corridor,Medium
Need an extra room key,Low
Please provide hostel rule information in my room.,Low
Please report: need a new notice board,Low
Request for an additional room hanger in my room.,Low
Please report: need information about hostel facilities,Low
Major water pipe burst in the hostel bathroom.,High
Please report: water is flooding the room due to a broken pipe,High
Main water supply pipe is leaking heavily in my room.,High
Please report: sewage water is overflowing into the hostel corridor,High
Bathroom drainage is completely blocked and overflowing,High
No water supply in the entire hostel block.,High
Bathroom tap is leaking continuously in my room.,Medium
Wash basin drain is blocked in my room.,Medium
Shower is not working properly in my room.,Medium
Please report: toilet flush is not working,Medium
Please report: water pressure in the bathroom is very low,Medium
Tap handle is broken.,Medium
Need a new bathroom tap in my room.,Low
Bathroom mirror has water stains.,Low
Need a replacement bucket in my room.,Low
Water bottle filling tap is slightly loose,Low
Need an extra mug for the bathroom in my room.,Low
Please report: electrical sparks are coming from the room switchboard,High
Please report: burning smell is coming from the electrical socket,High
Please report: power is completely out in the hostel block,High
Exposed electrical wire is hanging near the room in my room.,High
Please report: main electrical panel is making unusual sounds,High
Ceiling fan is not working.,Medium
Tube light is not working in the room.,Medium
One electrical socket is not working in my room.,Medium
Please report: room switch is damaged,Medium
Please report: study lamp socket has stopped working,Medium
Fan regulator is not working properly.,Medium
Need an additional charging socket.,Low
Light is slightly dim in the room,Low
Need a replacement LED bulb.,Low
Want an extra extension board,Low
Switch cover is loose in my room.,Low
Please report: ceiling is leaking heavily during rain,High
Please report: hostel room door cannot be locked,High
Broken window glass is creating a safety risk,High
Ceiling plaster has fallen inside the room,High
Staircase railing is broken and unsafe,High
Please report: door lock is damaged,Medium
Window latch is broken,Medium
Room door is difficult to close in my room.,Medium
Ceiling fan mounting is loose.,Medium
Wall has a large crack in my room.,Medium
Wardrobe door is damaged in my room.,Medium
Need a new curtain rod,Low
Room paint needs minor touch-up,Low
Wardrobe handle is loose.,Low
Need a replacement door stopper,Low
Window curtain is damaged.,Low
Sewage smell is spreading through the hostel floor.,High
Wastewater is accumulated in the corridor in my room.,High
Please report: large amount of garbage is blocking the hostel entrance,High
Please report: toilet is extremely unhygienic and unusable,High
Bathroom has not been cleaned for several days in my room.,Medium
Dustbin is overflowing on the hostel floor.,Medium
Room cleaning has not been done.,Medium
Corridor needs immediate cleaning.,Medium
Washroom floor is very dirty.,Medium
Need regular room cleaning.,Low
Please report: dust is accumulating under the bed,Low
Please clean the hostel window in my room.,Low
Need a new waste bin in my room.,Low
Room floor needs sweeping in my room.,Low
Bed frame is broken and unsafe to sleep on,High
Please report: wardrobe has collapsed and is blocking the room,High
Broken furniture is creating a safety hazard,High
Study table is damaged,Medium
Bed is making a loud noise,Medium
Chair leg is broken in my room.,Medium
Wardrobe door is not closing in my room.,Medium
Mattress is badly damaged in my room.,Medium
Please report: need a new chair,Low
Need an extra study table,Low
Chair cushion is damaged in my room.,Low
Need a replacement shelf in my room.,Low
Need an extra clothes hanger in my room.,Low
Please report: internet is completely unavailable across the hostel,High
Network equipment is down and students cannot access the internet in my room.,High
Hostel Wi-Fi has been unavailable for the entire day in my room.,High
Wi-Fi is very slow in the room.,Medium
Internet connection keeps disconnecting in my room.,Medium
Hostel Wi-Fi signal is weak,Medium
Cannot connect to the hostel network.,Medium
Internet speed drops frequently in my room.,Medium
Wi-Fi signal is weak near my study table.,Low
Need the Wi-Fi password reset,Low
Internet is slightly slower than usual,Low
Please add better Wi-Fi coverage to this room in my room.,Low
Gas leakage smell is coming from the hostel kitchen.,High
Please report: fire alarm is not working during an emergency test,High
Please report: emergency exit is blocked,High
Smoke is coming from an electrical appliance in my room.,High
Hostel entrance security door is not functioning.,High
CCTV camera is not working.,Medium
Emergency light is not working in my room.,Medium
Please report: staircase light is not working,Medium
Please report: security gate lock is damaged,Medium
First aid box needs inspection in my room.,Medium
Need a safety notice near the staircase in my room.,Low
Please replace a faded emergency sign in my room.,Low
Need an additional fire safety instruction board.,Low
Safety instructions are not visible in the corridor in my room.,Low
Lost student is unable to access the hostel room in my room.,High
Hostel entrance is locked and students cannot enter in my room.,High
Urgent assistance is needed in the hostel block.,High
Need assistance with hostel room allocation.,Medium
Please report: room key is missing,Medium
Hostel gate timing information is unclear,Medium
Need help moving to another room,Medium
Complaint about repeated disturbance in the corridor.,Medium
Please report: need an extra room key,Low
Please provide hostel rule information in my room.,Low
Need a new notice board in my room.,Low
Request for an additional room hanger in my room.,Low
Need information about hostel facilities,Low
Please report: major water pipe burst in the hostel bathroom,High
Water is flooding the room due to a broken pipe,High
Main water supply pipe is leaking heavily,High
Please report: sewage water is overflowing into the hostel corridor,High
Please report: bathroom drainage is completely blocked and overflowing,High
Please report: no water supply in the entire hostel block,High
Bathroom tap is leaking continuously.,Medium
Wash basin drain is blocked in my room.,Medium
Shower is not working properly.,Medium
Toilet flush is not working,Medium
Water pressure in the bathroom is very low.,Medium
Tap handle is broken.,Medium
Please report: need a new bathroom tap,Low
Bathroom mirror has water stains,Low
Need a replacement bucket.,Low
Please report: water bottle filling tap is slightly loose,Low
Need an extra mug for the bathroom in my room.,Low
Please report: electrical sparks are coming from the room switchboard,High
Burning smell is coming from the electrical socket in my room.,High
Power is completely out in the hostel block in my room.,High
Please report: exposed electrical wire is hanging near the room,High
Main electrical panel is making unusual sounds in my room.,High
Ceiling fan is not working,Medium
Tube light is not working in the room in my room.,Medium
One electrical socket is not working.,Medium
Room switch is damaged.,Medium
Please report: study lamp socket has stopped working,Medium
Fan regulator is not working properly,Medium
Need an additional charging socket in my room.,Low
Please report: light is slightly dim in the room,Low
Please report: need a replacement led bulb,Low
Want an extra extension board in my room.,Low
Switch cover is loose.,Low
Please report: ceiling is leaking heavily during rain,High
Hostel room door cannot be locked in my room.,High
Please report: broken window glass is creating a safety risk,High
Ceiling plaster has fallen inside the room,High
Staircase railing is broken and unsafe.,High
Please report: door lock is damaged,Medium
Window latch is broken,Medium
Room door is difficult to close,Medium
Please report: ceiling fan mounting is loose,Medium
Please report: wall has a large crack,Medium
Wardrobe door is damaged.,Medium
Please report: need a new curtain rod,Low
Room paint needs minor touch-up,Low
Please report: wardrobe handle is loose,Low
Need a replacement door stopper.,Low
Please report: window curtain is damaged,Low
Sewage smell is spreading through the hostel floor,High
Wastewater is accumulated in the corridor.,High
Please report: large amount of garbage is blocking the hostel entrance,High
Toilet is extremely unhygienic and unusable.,High
Bathroom has not been cleaned for several days,Medium
Dustbin is overflowing on the hostel floor in my room.,Medium
Please report: room cleaning has not been done,Medium
Corridor needs immediate cleaning in my room.,Medium
Washroom floor is very dirty,Medium
Please report: need regular room cleaning,Low
Please report: dust is accumulating under the bed,Low
Please clean the hostel window in my room.,Low
Need a new waste bin.,Low
Room floor needs sweeping,Low
Bed frame is broken and unsafe to sleep on.,High
Wardrobe has collapsed and is blocking the room,High
Broken furniture is creating a safety hazard.,High
Study table is damaged.,Medium
Please report: bed is making a loud noise,Medium
Please report: chair leg is broken,Medium
Wardrobe door is not closing,Medium
Please report: mattress is badly damaged,Medium
Please report: need a new chair,Low
Please report: need an extra study table,Low
Chair cushion is damaged in my room.,Low
Need a replacement shelf,Low
Please report: need an extra clothes hanger,Low
Internet is completely unavailable across the hostel,High
Network equipment is down and students cannot access the internet.,High
Please report: hostel wi-fi has been unavailable for the entire day,High
Wi-Fi is very slow in the room,Medium
Internet connection keeps disconnecting in my room.,Medium
Hostel Wi-Fi signal is weak,Medium
Cannot connect to the hostel network in my room.,Medium
Please report: internet speed drops frequently,Medium
Wi-Fi signal is weak near my study table,Low
Please report: need the wi-fi password reset,Low
Please report: internet is slightly slower than usual,Low
Please add better Wi-Fi coverage to this room in my room.,Low
Gas leakage smell is coming from the hostel kitchen,High
Fire alarm is not working during an emergency test.,High
Emergency exit is blocked.,High
Smoke is coming from an electrical appliance in my room.,High
Hostel entrance security door is not functioning,High
Please report: cctv camera is not working,Medium
Emergency light is not working.,Medium
Staircase light is not working,Medium
Security gate lock is damaged in my room.,Medium
Please report: first aid box needs inspection,Medium
Need a safety notice near the staircase,Low
Please report: please replace a faded emergency sign,Low
Please report: need an additional fire safety instruction board,Low
Safety instructions are not visible in the corridor,Low
Please report: lost student is unable to access the hostel room,High
Hostel entrance is locked and students cannot enter.,High
Urgent assistance is needed in the hostel block in my room.,High
Please report: need assistance with hostel room allocation,Medium
Room key is missing,Medium
Hostel gate timing information is unclear.,Medium
Need help moving to another room,Medium
Please report: complaint about repeated disturbance in the corridor,Medium
Please report: need an extra room key,Low
Please report: please provide hostel rule information,Low
Need a new notice board.,Low
Request for an additional room hanger in my room.,Low
Need information about hostel facilities,Low
Major water pipe burst in the hostel bathroom.,High
Water is flooding the room due to a broken pipe in my room.,High
Please report: main water supply pipe is leaking heavily,High
Please report: sewage water is overflowing into the hostel corridor,High
Bathroom drainage is completely blocked and overflowing,High
No water supply in the entire hostel block.,High
Bathroom tap is leaking continuously,Medium
Wash basin drain is blocked in my room.,Medium
Shower is not working properly in my room.,Medium
Toilet flush is not working.,Medium
Please report: water pressure in the bathroom is very low,Medium
Please report: tap handle is broken,Medium
Please report: need a new bathroom tap,Low
Bathroom mirror has water stains in my room.,Low
Need a replacement bucket,Low
Water bottle filling tap is slightly loose.,Low
Please report: need an extra mug for the bathroom,Low
Electrical sparks are coming from the room switchboard,High
Burning smell is coming from the electrical socket in my room.,High
Power is completely out in the hostel block in my room.,High
Exposed electrical wire is hanging near the room.,High
Please report: main electrical panel is making unusual sounds,High
Ceiling fan is not working,Medium
Tube light is not working in the room in my room.,Medium
One electrical socket is not working in my room.,Medium
Room switch is damaged in my room.,Medium
Study lamp socket has stopped working in my room.,Medium
Fan regulator is not working properly.,Medium
Please report: need an additional charging socket,Low
Light is slightly dim in the room,Low
Need a replacement LED bulb in my room.,Low
Want an extra extension board in my room.,Low
Please report: switch cover is loose,Low
Ceiling is leaking heavily during rain.,High
Hostel room door cannot be locked,High
Broken window glass is creating a safety risk.,High
Ceiling plaster has fallen inside the room.,High
Staircase railing is broken and unsafe.,High
Door lock is damaged.,Medium
Window latch is broken,Medium
Main water supply pipe is leaking heavily on my floor.,High
Please report: no water supply in the entire hostel block.,High
Reporting an issue: main water supply pipe is leaking heavily near my room.,High
Water is flooding the room due to a broken pipe in my room.,High
Reporting an issue: water tank overflow is flooding the corridor.,High
Reporting an issue: no water supply in the entire hostel block near my room.,High
Reporting an issue: bathroom floor is flooded and slippery due to a burst pipe on my floor.,High
Complaint: major water pipe burst in the hostel bathroom on my floor.,High
Please report: major water pipe burst in the hostel bathroom on my floor.,High
Complaint: main water supply pipe is leaking heavily.,High
Reporting an issue: hot water geyser is leaking and sparking near the tap on my floor.,High
Reporting an issue: bathroom floor is flooded and slippery due to a burst pipe.,High
Reporting an issue: main water supply pipe is leaking heavily on my floor.,High
Reporting an issue: hot water geyser is leaking and sparking near the tap in my room.,High
Please report: water is flooding the room due to a broken pipe on my floor.,High
No water supply in the entire hostel block near my room.,High
Kindly note: bathroom floor is flooded and slippery due to a burst pipe in my room.,High
Please report: hot water geyser is leaking and sparking near the tap on my floor.,High
Please report: pipe burst has damaged the wiring near the bathroom in the hostel block.,High
Complaint: major water pipe burst in the hostel bathroom near my room.,High
Please report: water tank overflow is flooding the corridor on my floor.,High
No water supply in the entire hostel block on my floor.,High
Sewage water is backing up into the bathroom in my room.,High
Please report: hot water geyser is leaking and sparking near the tap near my room.,High
Please report: bathroom floor is flooded and slippery due to a burst pipe on my floor.,High
Reporting an issue: no water supply in the entire hostel block in the hostel block.,High
Complaint: pipe burst has damaged the wiring near the bathroom in the hostel block.,High
Please report: hot water geyser is leaking and sparking near the tap in my room.,High
Bathroom floor is flooded and slippery due to a burst pipe.,High
Please report: major water pipe burst in the hostel bathroom near my room.,High
Complaint: main water supply pipe is leaking heavily near my room.,High
Reporting an issue: bathroom floor is flooded and slippery due to a burst pipe on my floor.,High
Water is flooding the room due to a broken pipe in the hostel block.,High
Hot water geyser is leaking and sparking near the tap on my floor.,High
Complaint: major water pipe burst in the hostel bathroom.,High
Please report: water tank overflow is flooding the corridor in the hostel block.,High
Reporting an issue: sewage water is backing up into the bathroom in the hostel block.,High
Kindly note: major water pipe burst in the hostel bathroom in my room.,High
Water tank overflow is flooding the corridor in the hostel block.,High
Bathroom floor is flooded and slippery due to a burst pipe.,High
Please report: sewage water is backing up into the bathroom.,High
Pipe burst has damaged the wiring near the bathroom.,High
Reporting an issue: main water supply pipe is leaking heavily in my room.,High
Reporting an issue: bathroom floor is flooded and slippery due to a burst pipe in my room.,High
Reporting an issue: water tank overflow is flooding the corridor near my room.,High
Please report: water tank overflow is flooding the corridor on my floor.,High
Complaint: hot water geyser is leaking and sparking near the tap in the hostel block.,High
Please report: main water supply pipe is leaking heavily in my room.,High
Hot water geyser is leaking and sparking near the tap in the hostel block.,High
Reporting an issue: no water supply in the entire hostel block in my room.,High
Main water supply pipe is leaking heavily in my room.,High
Kindly note: water is flooding the room due to a broken pipe.,High
Kindly note: no water supply in the entire hostel block near my room.,High
Please report: water tank overflow is flooding the corridor in the hostel block.,High
Please report: bathroom floor is flooded and slippery due to a burst pipe near my room.,High
No water supply in the entire hostel block.,High
Complaint: hot water geyser is leaking and sparking near the tap near my room.,High
Water is flooding the room due to a broken pipe.,High
Hot water geyser is leaking and sparking near the tap in my room.,High
Reporting an issue: no water supply in the entire hostel block near my room.,High
Please report: ceiling is dripping water continuously from the pipe above on my floor.,High
No water supply in the entire hostel block near my room.,High
Main water supply pipe is leaking heavily in the hostel block.,High
Please report: main water supply pipe is leaking heavily in my room.,High
Complaint: bathroom floor is flooded and slippery due to a burst pipe in my room.,High
Please report: water is flooding the room due to a broken pipe near my room.,High
Kindly note: ceiling is dripping water continuously from the pipe above near my room.,High
Reporting an issue: ceiling is dripping water continuously from the pipe above near my room.,High
Kindly note: no water supply in the entire hostel block in my room.,High
Reporting an issue: pipe burst has damaged the wiring near the bathroom.,High
Water is flooding the room due to a broken pipe in the hostel block.,High
Reporting an issue: water tank overflow is flooding the corridor in my room.,High
Water tank overflow is flooding the corridor in my room.,High
Pipe burst has damaged the wiring near the bathroom in my room.,High
Reporting an issue: main water supply pipe is leaking heavily in my room.,High
Pipe burst has damaged the wiring near the bathroom in the hostel block.,High
Reporting an issue: ceiling is dripping water continuously from the pipe above in the hostel block.,High
Kindly note: hot water geyser is leaking and sparking near the tap in my room.,High
Kindly note: no water supply in the entire hostel block near my room.,High
Complaint: sewage water is backing up into the bathroom on my floor.,High
Complaint: water is flooding the room due to a broken pipe in the hostel block.,High
Main water supply pipe is leaking heavily in the hostel block.,High
Kindly note: water tank overflow is flooding the corridor in my room.,High
Please report: main water supply pipe is leaking heavily on my floor.,High
Complaint: major water pipe burst in the hostel bathroom in the hostel block.,High
Reporting an issue: pipe burst has damaged the wiring near the bathroom.,High
Sewage water is backing up into the bathroom in my room.,High
Main water supply pipe is leaking heavily in the hostel block.,High
Kindly note: sewage water is backing up into the bathroom in the hostel block.,High
Please report: hot water geyser is leaking and sparking near the tap on my floor.,High
Kindly note: flush tank is making a loud noise.,Medium
Kindly note: geyser is not heating water properly.,Medium
Please report: water pressure in the bathroom is very low on my floor.,Medium
Reporting an issue: flush tank is making a loud noise near my room.,Medium
Toilet flush is not working.,Medium
Bathroom door lock near the shower is rusted and stuck on my floor.,Medium
Please report: bathroom door lock near the shower is rusted and stuck near my room.,Medium
Kindly note: toilet flush is not working on my floor.,Medium
Please report: water pressure in the bathroom is very low in my room.,Medium
Reporting an issue: water pressure in the bathroom is very low near my room.,Medium
Please report: bathroom drain is clogged and draining slowly in my room.,Medium
Geyser is not heating water properly in my room.,Medium
Please report: geyser is not heating water properly on my floor.,Medium
Complaint: tap handle is broken.,Medium
Please report: shower head is leaking constantly near my room.,Medium
Please report: wash basin tap is dripping continuously in my room.,Medium
Complaint: shower head is leaking constantly on my floor.,Medium
Kindly note: tap handle is broken on my floor.,Medium
Reporting an issue: geyser is not heating water properly on my floor.,Medium
Kindly note: tap handle is broken in my room.,Medium
Wash basin tap is dripping continuously.,Medium
Kindly note: geyser is not heating water properly on my floor.,Medium
Reporting an issue: cold water tap is not shutting off completely.,Medium
Please report: cold water tap is not shutting off completely on my floor.,Medium
Geyser is not heating water properly in the hostel block.,Medium
Kindly note: shower head is leaking constantly near my room.,Medium
Reporting an issue: water pressure in the bathroom is very low on my floor.,Medium
Reporting an issue: wash basin tap is dripping continuously on my floor.,Medium
Complaint: water pressure in the bathroom is very low on my floor.,Medium
Please report: bathroom drain is clogged and draining slowly near my room.,Medium
Reporting an issue: bathroom drain is clogged and draining slowly in the hostel block.,Medium
Reporting an issue: geyser is not heating water properly.,Medium
Please report: wash basin tap is dripping continuously near my room.,Medium
Kindly note: cold water tap is not shutting off completely near my room.,Medium
Please report: flush tank is making a loud noise in the hostel block.,Medium
Bathroom drain is clogged and draining slowly on my floor.,Medium
Kindly note: cold water tap is not shutting off completely.,Medium
Please report: wash basin tap is dripping continuously in my room.,Medium
Toilet flush is not working in my room.,Medium
Cold water tap is not shutting off completely near my room.,Medium
Please report: cold water tap is not shutting off completely near my room.,Medium
Please report: geyser is not heating water properly in my room.,Medium
Complaint: tap handle is broken in my room.,Medium
Complaint: bathroom door lock near the shower is rusted and stuck.,Medium
Shower head is leaking constantly near my room.,Medium
Reporting an issue: flush tank is making a loud noise in the hostel block.,Medium
Complaint: water pressure in the bathroom is very low in the hostel block.,Medium
Reporting an issue: geyser is not heating water properly near my room.,Medium
Complaint: flush tank is making a loud noise on my floor.,Medium
Reporting an issue: wash basin tap is dripping continuously near my room.,Medium
Complaint: wash basin tap is dripping continuously.,Medium
Kindly note: shower head is leaking constantly on my floor.,Medium
Bathroom door lock near the shower is rusted and stuck in my room.,Medium
Complaint: shower head is leaking constantly in my room.,Medium
Complaint: tap handle is broken near my room.,Medium
Complaint: bathroom door lock near the shower is rusted and stuck near my room.,Medium
Complaint: shower head is leaking constantly near my room.,Medium
Reporting an issue: toilet flush is not working near my room.,Medium
Kindly note: toilet flush is not working on my floor.,Medium
Reporting an issue: geyser is not heating water properly in the hostel block.,Medium
Complaint: shower head is leaking constantly in my room.,Medium
Complaint: geyser is not heating water properly.,Medium
Complaint: water pressure in the bathroom is very low in my room.,Medium
Reporting an issue: bathroom drain is clogged and draining slowly in the hostel block.,Medium
Reporting an issue: geyser is not heating water properly in the hostel block.,Medium
Complaint: tap handle is broken in my room.,Medium
Bathroom drain is clogged and draining slowly on my floor.,Medium
Please report: water pressure in the bathroom is very low near my room.,Medium
Complaint: water pressure in the bathroom is very low on my floor.,Medium
Wash basin tap is dripping continuously near my room.,Medium
Bathroom door lock near the shower is rusted and stuck on my floor.,Medium
Tap handle is broken.,Medium
Shower head is leaking constantly in the hostel block.,Medium
Please report: shower head is leaking constantly near my room.,Medium
Please report: cold water tap is not shutting off completely near my room.,Medium
Please report: water pressure in the bathroom is very low in the hostel block.,Medium
Please report: tap handle is broken on my floor.,Medium
Cold water tap is not shutting off completely on my floor.,Medium
Complaint: geyser is not heating water properly in my room.,Medium
Please report: cold water tap is not shutting off completely.,Medium
Cold water tap is not shutting off completely in the hostel block.,Medium
Reporting an issue: water pressure in the bathroom is very low near my room.,Medium
Reporting an issue: tap handle is broken on my floor.,Medium
Complaint: geyser is not heating water properly.,Medium
Complaint: water pressure in the bathroom is very low in my room.,Medium
Reporting an issue: bathroom drain is clogged and draining slowly on my floor.,Medium
Complaint: bathroom door lock near the shower is rusted and stuck near my room.,Medium
Kindly note: cold water tap is not shutting off completely on my floor.,Medium
Kindly note: tap handle is broken near my room.,Medium
Reporting an issue: flush tank is making a loud noise in the hostel block.,Medium
Need a spare bucket for the room near my room.,Low
